id,news_type,href,title,datetime,content
1000,要闻,https://new.qq.com/rain/a/UTR2025052911532000,美亿万富翁呼吁特朗普与马斯克“和解”，马斯克回应,2025-06-06 13:03:41.987475,hello world
1001,要闻,https://new.qq.com/rain/a/20250606A01WS900,载3000辆汽车货轮太平洋起火：从山东烟台出发，曾挂靠广州上海等港口,2025-06-06 08:09:10.000000,hello world
1002,要闻,https://new.qq.com/rain/a/UTR2025051405460700,李在明，要派他去见金正恩吗,2025-06-06 13:03:41.987475,hello world
1003,要闻,https://new.qq.com/rain/a/20250605A05KDK00,网传贵州毕节一山体开裂出现巨大裂痕，村民：在家都能听到山上响动,2025-06-06 11:19:46.000000,hello world
1004,要闻,https://new.qq.com/rain/a/20250605A09DV800,46岁卡车司机缺氧去世，重组家庭5个娃在上学，未领证妻子：愿意抚养,2025-06-06 11:57:40.000000,hello world
1005,财经,https://new.qq.com/rain/a/20250606A0337000,卖完80多个万达广场，个人财富缩水9成，王健林手里还剩啥,2025-06-06 12:02:56.000000,hello world
1006,财经,https://new.qq.com/rain/a/20250606A047OT00,股价暴跌14%！马斯克与特朗普从盟友到反目的330天，特斯拉经历了什么,2025-06-06 11:47:39.000000,hello world
1007,财经,https://new.qq.com/rain/a/20250606A03JS800,“苏超”爆火：散装江苏经济模式的最佳代言人,2025-06-06 10:51:13.000000,hello world
1008,财经,https://new.qq.com/rain/a/UTR2025033100421600,欧美稀土“慌”，凸显大国如何获得博弈筹码,2025-06-06 13:03:41.987475,hello world
1009,财经,https://new.qq.com/rain/a/20250605A09MVM00,都在鼓励结婚生娃，哪个省份更“友好”,2025-06-06 09:37:32.000000,hello world
1010,科技,https://new.qq.com/rain/a/20250606A04QEV00,大厂争当AI“婆婆”,2025-06-06 12:38:27.000000,hello world
1011,科技,https://new.qq.com/rain/a/20250605A07ULX00,“百镜大战”没来，但谷歌想用Gemini让AI眼镜“再次伟大”,2025-06-06 07:00:00.000000,hello world
1012,科技,https://new.qq.com/rain/a/UTR2025060412338300,智源研究院王仲远：具身智能需要社会适配性、数据获取和情绪价值,2025-06-06 13:03:41.987475,hello world
1013,科技,https://new.qq.com/rain/a/20250606A040K100,王自如离开格力后首发声：离开格力时是人生最糟糕的时候,2025-06-06 11:32:08.000000,hello world
1014,科技,https://new.qq.com/rain/a/20250606A01P3P00,“AI教母”李飞飞揭秘“世界模型”：要让AI像人类一样理解三维空间,2025-06-06 07:26:39.000000,hello world
1015,娱乐,https://new.qq.com/rain/a/20250606V00GRX00,《乘风2025》成团夜在即，邓萃雯首谈对名次的看法，回应表情管理,2025-06-06 10:00:02.000000,hello world
1016,娱乐,https://new.qq.com/rain/a/20250605A07EPO00,1314元一张票，网红“叫板”汪苏泷,2025-06-06 09:01:00.000000,hello world
1017,娱乐,https://new.qq.com/rain/a/UTR2025060501706000,百人援疆｜和易烊千玺一起守护生命健康,2025-06-06 13:03:41.987475,hello world
1018,娱乐,https://new.qq.com/rain/a/20250606V03HLO00,酱园弄最新预告释出，尺度超大堪比恐怖片，杨幂章子怡对手戏曝光,2025-06-06 10:45:27.000000,hello world
1019,娱乐,https://new.qq.com/rain/a/20250605V08XSP00,歌手2025总监回应马嘉祺晋级争议：流量不应该成为原罪,2025-06-05 20:20:37.000000,hello world
1020,体育,https://new.qq.com/rain/a/UTR2025041400042100,哈利准绝杀！NBA总决赛：步行者逆转雷霆总分1-0 亚历山大空砍38分,2025-06-06 13:03:41.987475,hello world
1021,体育,https://new.qq.com/rain/a/UTR2023020100324300,国足提前出局，最后一个主场球票已停止退票,2025-06-06 13:03:41.987475,hello world
1022,体育,https://new.qq.com/rain/a/20250606A03S3L00,国足沉沦背后的“苏超”狂欢：重构中国足球底层逻辑的一次集体呐喊,2025-06-06 11:09:04.000000,hello world
1023,体育,https://new.qq.com/rain/a/UTR2025053006796700,“输了水蜜桃加盐，赢了盐水鸭加糖” 火出圈的“苏超”还有这些,2025-06-06 13:03:41.987475,hello world
1024,体育,https://new.qq.com/rain/a/20250606V0394M00,足球有数｜这支国足有未来吗，有哪些人能踢下届世预赛,2025-06-06 10:25:54.000000,hello world
1025,国际,https://new.qq.com/rain/a/UTR2025052911532000,美亿万富翁呼吁特朗普与马斯克“和解”，马斯克回应,2025-06-06 13:03:41.987475,hello world
1026,国际,https://new.qq.com/rain/a/20250606A04D6S00,“塑料兄弟情”维持不到一年，特朗普和马斯克是如何走向决裂的？,2025-06-06 12:00:29.000000,hello world
1027,国际,https://new.qq.com/rain/a/20250606A02FLX00,欧美稀土“慌”，凸显大国如何获得博弈筹码,2025-06-06 10:11:12.000000,hello world
1028,国际,https://new.qq.com/rain/a/20250606A04BPK00,视频丨中方对恐怖分子编入叙政府军表示关切,2025-06-06 11:57:27.000000,hello world
1029,国际,https://new.qq.com/rain/a/20250606A036HQ00,注意韩国国务总理人选：清华校友金民锡,2025-06-06 10:19:59.000000,hello world
1030,军事,https://new.qq.com/rain/a/UTR2024081300585900,赫尔松州政府大楼被俄军制导炸弹摧毁：像被咬掉一大口,2025-06-06 13:03:41.987475,hello world
1031,军事,https://new.qq.com/rain/a/20250606A03B7700,德国防长：德军需增兵多至6万才能达到北约新要求,2025-06-06 10:31:09.000000,hello world
1032,军事,https://new.qq.com/rain/a/20250606V041IY00,弹射版教练10首次现身，中国航母终于有了专业教练机,2025-06-06 11:34:15.000000,hello world
1033,军事,https://new.qq.com/rain/a/20250606A041DD00,朝媒：已被扶正的侧翻驱逐舰将进入下一阶段修复作业,2025-06-06 11:30:10.000000,hello world
1034,军事,https://new.qq.com/rain/a/20250606V03M9K00,俄军发动大规模武装直升机袭击：士兵手动装填弹药 低空密集仰射火箭弹,2025-06-06 10:57:50.000000,hello world
1035,汽车,https://new.qq.com/rain/a/UTR2025060302075000,长安汽车朱华荣：坚决反对恶性竞争，产业链上下百万职工压力巨大,2025-06-06 13:03:41.987475,hello world
1036,汽车,https://new.qq.com/rain/a/20250606A04IS300,比亚迪王传福：电动化上半场还有遗憾，比如充电速度比加油慢,2025-06-06 12:14:11.000000,hello world
1037,汽车,https://new.qq.com/rain/a/20250606A047OT00,股价暴跌14%！马斯克与特朗普从盟友到反目的330天，特斯拉经历了什么,2025-06-06 11:47:39.000000,hello world
1038,汽车,https://new.qq.com/rain/a/20250606A042Q200,5月超百款车型降价！王侠：汽车行业不要把内卷风气带到海外,2025-06-06 11:36:11.000000,hello world
1039,汽车,https://new.qq.com/rain/a/20250606A03V8600,新一代奥迪Q3即将来袭，外观更运动，内饰三块大屏，或夏季上市,2025-06-06 11:18:56.000000,hello world
1040,教育,https://new.qq.com/rain/a/20250606V03IL600,腾讯新闻2025高考主题曲发布！祝学子金榜题名，前程似锦,2025-06-06 11:30:00.000000,hello world
1041,教育,https://new.qq.com/rain/a/20250606A02D0I00,多地公布高考报名人数,2025-06-06 09:14:40.000000,hello world
1042,教育,https://new.qq.com/rain/a/20250606A02AP500,一名老师眼中的「高考工厂」：我与学生，都困在成绩金字塔里,2025-06-06 08:59:04.000000,hello world
1043,教育,https://new.qq.com/rain/a/20250606A01NAK00,数学家当选总统，曾两夺奥数金牌！学好数学的含金量还在上升…,2025-06-06 07:07:00.000000,hello world
1044,教育,https://new.qq.com/rain/a/20250604A04PPX00,谁能真正靠实力进哈佛？一场阶层与人脉的权利游戏,2025-06-06 09:01:00.000000,hello world
1045,健康,https://new.qq.com/rain/a/20250606A01VSI00,那些做了近视手术的人，现在怎么样了 ｜全国爱眼日,2025-06-06 07:56:13.000000,hello world
1046,健康,https://new.qq.com/rain/a/20250606A037QP00,两年内多次手术，为何腿部手术如此难处理？,2025-06-06 10:22:42.000000,hello world
1047,健康,https://new.qq.com/rain/a/20250606A02BVC00,加速眼睛报废的坏习惯，看看你中了几个？,2025-06-06 08:58:03.000000,hello world
1048,健康,https://new.qq.com/rain/a/20250606A030WH00,这些错误吃药行为，你做过几个 ｜科学用药指南,2025-06-06 10:04:52.000000,hello world
1049,健康,https://new.qq.com/rain/a/20250605A08GAW00,家属称相关医生已停职，蛇咬伤救治有多难？,2025-06-05 19:08:17.000000,hello world
1050,游戏,https://new.qq.com/rain/a/20250605A09RBW00,俄罗斯军方支持孵化了一款“俄乌战争游戏”,2025-06-06 10:34:00.000000,hello world
1051,游戏,https://new.qq.com/rain/a/20250605A09DAP00,狼队3-0零封RW侠，小胖盛赞SK，紫幻风箫配合默契，后续可能轮换,2025-06-06 10:34:20.000000,hello world
1052,游戏,https://new.qq.com/rain/a/20250605A08Z8G00,辞任CEO后，这位中国游戏大佬搞奥运会去了,2025-06-06 10:34:59.000000,hello world
1053,游戏,https://new.qq.com/rain/a/20250605A09PB200,卡普空小萝莉没跑路；Switch2发售内容汇总 | 每日B报,2025-06-06 10:31:59.000000,hello world
1054,游戏,https://new.qq.com/rain/a/20250606A01RI100,回应《不羁联盟》关服，制作人 Mark Rubin 宣布“退出游戏行业”,2025-06-06 10:36:52.000000,hello world
1055,科学,https://new.qq.com/rain/a/20250606V01QIO00,持续高温笼罩多地：60℃不是天气偶发，是地球对人类的回响,2025-06-06 07:38:43.000000,hello world
1056,科学,https://new.qq.com/rain/a/20250605V05O1F00,1.54℃！地球发烧刷新纪录？,2025-06-06 07:30:00.000000,hello world
1057,科学,https://new.qq.com/rain/a/20250606V01R9S00,心跳停了，大脑却亮了30秒？死亡，可能不是你以为的样子,2025-06-06 07:47:19.000000,hello world
1058,科学,https://new.qq.com/rain/a/20250606V02JCR00,恒星质量与能量输出关系，质量加倍为何能量增至 10 倍的科学解析,2025-06-06 09:30:45.000000,hello world
1059,科学,https://new.qq.com/rain/a/20250606A010AJ00,《科学》刊文！复旦科学家通过脑机接口，使失明动物恢复视觉功能,2025-06-06 02:02:28.000000,hello world
1060,历史,https://new.qq.com/rain/a/20250419A020F600,两桩唐朝时期的刑事案件，窥见那个时代的真相,2025-04-19 08:24:02.000000,hello world
